Brand,Model,Body,Color,Year,Fuel,Kilometers,Engine,Transmission,Price,Gov,price_category
Chevrolet,Aveo,Sedan,Red,2012,Benzine,90000 to 99999,1400 - 1500 CC,Manual,125.0,Kafr al-Sheikh,1
Chevrolet,Optra,Sedan,Orange,2006,Benzine,More than 200000,1600 CC,Manual,105.0,Cairo,1
Fiat,Punto,Hatchback,Blue- Navy Blue,2006,Benzine,100000 to 119999,1000 - 1300 CC,Manual,86.2,Damietta,0
Chevrolet,Lanos,Sedan,Silver,2013,Benzine,140000 to 159999,1400 - 1500 CC,Manual,120.8,Gharbia,1
Hyundai,Elantra,Sedan,Silver,2019,Benzine,80000 to 89999,1600 CC,Automatic,287.5,Cairo,2
Chevrolet,Lanos,Sedan,Gray,2016,Benzine,80000 to 89999,1400 - 1500 CC,Manual,138.0,Alexandria,1
Hyundai,Verna,Sedan,White,2012,Natural Gas,10000 to 19999,1600 CC,Automatic,90.0,Qalyubia,0
Hyundai,Verna,Sedan,White,2017,Natural Gas,50000 to 59999,1600 CC,Manual,115.0,Giza,1
Fiat,128,Sedan,White,1989,Benzine,More than 200000,1000 - 1300 CC,Manual,20.7,Ismailia,0
Chevrolet,Lanos,Sedan,Gray,2017,Benzine,180000 to 199999,1400 - 1500 CC,Manual,135.7,Giza,1
Hyundai,Matrix,Hatchback,Gray,2011,Benzine,90000 to 99999,1600 CC,Automatic,198.9,Dakahlia,1
Chevrolet,Cruze,Sedan,Black,2011,Benzine,10000 to 19999,1600 CC,Automatic,125.0,Cairo,1
Chevrolet,Aveo,Sedan,Gray,2013,Benzine,180000 to 199999,1400 - 1500 CC,Manual,120.0,Dakahlia,1
Fiat,Tipo,Hatchback,Red,2021,Benzine,0 to 9999,1600 CC,Automatic,280.0,Gharbia,2
Fiat,Uno,Hatchback,Burgundy,1998,Benzine,180000 to 199999,1000 - 1300 CC,Manual,45.0,Cairo,0
Chevrolet,Optra,Sedan,Brown,2018,Benzine,80000 to 89999,1600 CC,Automatic,210.0,Alexandria,2
Hyundai,Verna,Sedan,White,2009,Natural Gas,More than 200000,1400 - 1500 CC,Manual,97.8,Giza,0
Hyundai,Verna,Sedan,Silver,2016,Benzine,120000 to 139999,1600 CC,Manual,126.5,Dakahlia,1
